"bin","gamma1","gamma2","gamma3","gamma4","gamma5","gamma6","gamma7","gamma8","gamma9","gamma10","gamma11","gamma12","gamma13","gamma14","gamma15","gamma16","gamma17","gamma18","gamma19","gamma20","stderr1","stderr2","stderr3","stderr4","stderr5","stderr6","stderr7","stderr8","stderr9","stderr10","stderr11","stderr12","stderr13","stderr14","stderr15","stderr16","stderr17","stderr18","stderr19","stderr20"
1,-1.46909844854093e-07,1.43644743661098e-07,2.3134968517974e-07,-2.3496974376692e-07,-4.07933748446187e-07,4.04694853798173e-07,-2.43295144006548e-07,2.42146448340675e-07,-7.75480089055905e-08,8.07104713138931e-08,1.65370552265098e-07,-1.64094662609388e-07,-1.61196059350224e-07,1.64461858671907e-07,1.08593813343513e-07,-1.05629728893728e-07,2.3028063940901e-08,-2.37183826002702e-08,-1.69477914374704e-07,1.70772747292654e-07,0.000187641447216497,0.000187641446836506,0.000187641463485389,0.000187641464001549,0.000187641419919792,0.00018764141990073,0.000187641460620328,0.000187641460379901,0.000187641449130344,0.000187641449140984,0.000187641442161877,0.000187641441620897,0.000187641457266206,0.000187641457916426,0.000187641462285091,0.000187641461503655,0.000187641494848255,0.000187641495101338,0.000187641460162987,0.00018764145944655
2,-3.55559821978821e-07,3.47657373130456e-07,5.59926279201678e-07,-5.68687825576582e-07,-1.0683463857904e-06,1.06050736817559e-06,-1.39918856567957e-06,1.39640838865877e-06,-5.89482634700694e-07,5.97136670011669e-07,4.00239426976039e-07,-3.97151415827249e-07,-2.6773807499155e-07,2.75642216905718e-07,4.72664824494416e-07,-4.6549091429709e-07,2.04376199274106e-08,-2.21083804175896e-08,-2.49180810397299e-07,2.5231466217511e-07,0.000291917721186045,0.000291917719755279,0.00029191778244222,0.000291917784385696,0.000291917642681973,0.000291917642945034,0.000291917854611444,0.000291917852642464,0.000291917731259389,0.000291917731067754,0.000291917702154231,0.000291917700117302,0.000291917821701799,0.000291917824174242,0.000291917827555692,0.00029191782574728,0.000291917911737409,0.000291917913091309,0.000291917836165848,0.000291917831980974
3,-2.39201812775838e-07,2.31889335540225e-07,5.18124618443259e-07,-5.26232057239702e-07,-9.65143487833581e-07,9.57889704061839e-07,-1.29473112693206e-06,1.29215851022682e-06,-6.19086787454877e-07,6.26169398610901e-07,-3.66828890447049e-08,3.95403556958999e-08,-3.64066193186173e-08,4.3720662837364e-08,4.37377698767209e-07,-4.30739367181167e-07,1.89118344468205e-08,-2.04578610559595e-08,-2.46590053249137e-07,2.49489943455304e-07,0.000280809695442687,0.000280809694590616,0.000280809723486344,0.000280809725216295,0.000280809649811759,0.000280809650004308,0.000280809787726585,0.000280809785973931,0.000280809676321127,0.000280809675822766,0.000280809693625562,0.000280809693536411,0.000280809779715286,0.000280809781855796,0.000280809763643355,0.000280809762033629,0.000280809838576314,0.000280809839781464,0.000280809778561708,0.000280809774825854
4,-4.96218442179326e-09,-3.71222649749629e-09,6.4967106736061e-07,-6.59288507337108e-07,-1.14489704945578e-06,1.13629226214402e-06,-1.44486052054817e-06,1.44180876178319e-06,-8.43641348334143e-07,8.52043087864041e-07,3.1914395100028e-07,-3.15754288554421e-07,-1.68813114169479e-08,2.55575810768664e-08,7.02741927692361e-07,-6.94867217621371e-07,1.71534258952352e-07,-1.73368231246526e-07,-2.92516416580092e-07,2.9595640414012e-07,0.000305843803093285,0.000305843802848711,0.000305843812748842,0.00030584381586607,0.000305843705186786,0.00030584370543556,0.000305843895391257,0.000305843893703923,0.000305843825953245,0.000305843826502588,0.000305843808910418,0.000305843809748232,0.000305843875363594,0.000305843877651971,0.00030584386557644,0.000305843863844545,0.000305843968827433,0.00030584396977559,0.000305843871531415,0.00030584386670469
5,-3.97417890745739e-09,-2.97309411093751e-09,5.20318174553624e-07,-5.28020710525828e-07,-7.57108876651021e-07,7.50217364527994e-07,-1.1571809970188e-06,1.15473686756581e-06,-6.75667936798451e-07,6.82396827415845e-07,8.2390873279119e-09,-5.52433073822143e-09,2.13442318787235e-07,-2.06493560945946e-07,5.62822256005094e-07,-5.56515460206634e-07,1.37380837762889e-07,-1.38849653298291e-07,-1.23557126940026e-07,1.26312192195213e-07,0.000273707778621675,0.000273707778446378,0.000273707785542231,0.000273707787776477,0.00027370772184746,0.00027370772209137,0.00027370784477559,0.000273707843566209,0.000273707795006392,0.000273707795400128,0.000273707797647971,0.000273707797500364,0.000273707832970258,0.000273707834393018,0.000273707823406035,0.000273707822164714,0.000273707897410432,0.000273707898090015,0.00027370783545655,0.000273707832841
6,1.42381532449651e-07,-1.46086773840665e-07,2.77506552962215e-07,-2.81614602655591e-07,-5.25029673837474e-07,5.21354170759524e-07,-2.93337049308122e-07,2.92033507455389e-07,-3.60360786660841e-07,3.63949555141113e-07,4.39423145056425e-09,-2.94635064013266e-09,2.68646096985997e-08,-2.31585763548714e-08,3.00175590157285e-07,-2.96811941444112e-07,7.327065428095e-08,-7.40540291418406e-08,-6.58979512507691e-08,6.7367330779128e-08,0.000199888927917482,0.000199888927649755,0.000199888929403136,0.000199888930273369,0.00019988891196085,0.000199888911968592,0.000199888971294022,0.000199888971022477,0.000199888933089419,0.000199888933242779,0.000199888934118312,0.00019988893406082,0.000199888953501617,0.000199888954380084,0.000199888944151061,0.00019988894366757,0.000199888972975711,0.000199888973240407,0.000199888948844727,0.000199888947825977
7,2.968875754998e-07,-3.00419215293804e-07,3.06434283794125e-07,-3.10349856499669e-07,-2.24502597700231e-07,2.20999305048192e-07,-2.7959324004733e-07,2.78350773802076e-07,-3.43476706901624e-07,3.4689732900204e-07,4.18834719759521e-09,-2.80830463354102e-09,-1.11680956530077e-08,1.47004886476248e-08,3.20991185756847e-07,-3.17785135293527e-07,-5.32912568051867e-09,4.58245493295006e-09,-6.28104161767658e-08,6.42109501987693e-08,0.00019515001249288,0.000195150013037773,0.000195150034799256,0.000195150035416071,0.000195150033348706,0.000195150033425761,0.000195150057464207,0.000195150057211521,0.000195150021912918,0.000195150022055627,0.000195150022870355,0.000195150022816855,0.000195150051849466,0.000195150052356812,0.000195150039323733,0.000195150038764794,0.000195150066664245,0.000195150066791727,0.000195150036574018,0.000195150035626021
8,2.56715989755208e-07,-2.6004916104348e-07,2.89213614134556e-07,-2.92909142696174e-07,-9.6849594408393e-08,9.35431768558826e-08,-2.63880947725718e-07,2.62708304439765e-07,-1.98093403766954e-07,2.01321796862992e-07,3.95297464525503e-09,-2.65048683275855e-09,-1.62049735881674e-08,1.95388557555064e-08,3.02952460301723e-07,-2.99926581232425e-07,-5.02964494456788e-09,4.32493479510922e-09,4.46144916065024e-08,-4.329266291386e-08,0.000189587308559852,0.000189587308982183,0.000189587322557549,0.000189587323123108,0.000189587330451115,0.000189587330663197,0.000189587343339049,0.000189587343107361,0.000189587322469137,0.000189587322989381,0.000189587311619937,0.000189587311570883,0.000189587342753809,0.000189587343136751,0.000189587326706044,0.000189587326193553,0.000189587351774566,0.000189587351891454,0.00018958733326236,0.00018958733239396
9,2.19298509513248e-07,-2.22772331157024e-07,3.01417575468322e-07,-3.0526904509154e-07,-9.55474741656337e-08,9.21015352521257e-08,-3.52100527902102e-07,3.50878400873183e-07,-3.34741674241861e-07,3.38106296629303e-07,1.85796794996499e-08,-1.72222301079989e-08,8.83804234648262e-08,-8.4905860673517e-08,2.71940662346307e-07,-2.68787099353054e-07,-5.24188123346307e-09,4.50743443532033e-09,4.64970922286514e-08,-4.51194857847422e-08,0.000193546010529473,0.00019354601099068,0.000193546015188024,0.000193546015789755,0.000193546031121867,0.000193546031563799,0.000193546040812027,0.000193546040187182,0.000193546017337517,0.00019354601759932,0.000193546005987987,0.00019354600609789,0.000193546039877555,0.000193546040071681,0.000193546024227728,0.000193546023642301,0.000193546046273721,0.000193546046398086,0.0001935460265775,0.000193546025653559
10,3.86424389567047e-07,-3.92545611442409e-07,7.6719575764739e-07,-7.73982435478529e-07,-1.68363614679822e-07,1.62291526949881e-07,-6.2043422465361e-07,6.18280711928365e-07,-5.89846062470755e-07,5.9577486455499e-07,-3.80045962746062e-07,3.82437924389359e-07,1.55734620846524e-07,-1.4961209424675e-07,4.79184889488636e-07,-4.73627994160792e-07,-9.23669019904994e-09,7.9425217998937e-09,2.05832977037658e-07,-2.03405494131965e-07,0.000256920681453186,0.000256920682531985,0.000256920711230971,0.000256920712437784,0.000256920729620213,0.000256920730653926,0.000256920752286178,0.000256920750824617,0.000256920697377668,0.000256920697990045,0.000256920682416711,0.000256920682422034,0.000256920750100379,0.000256920750554454,0.000256920713494348,0.00025692071212499,0.000256920765061461,0.000256920765352359,0.000256920715344294,0.000256920713244002
