"bin","initial","conv","fn1","fn0","lrt","beta","sigma2","xi","tau_k"
1,1,0,7664.63738251514,7664.63736755657,-2.99171424558153e-05,0.000546766291029243,1.06925607076806,3.29288835954719e-08,3.52094086880731e-08
2,1,0,7664.63737762929,7664.63736755657,-2.01454422494862e-05,0.000546754076878354,1.06925602773082,7.96970191631003e-08,8.52165181323238e-08
3,1,0,7664.63737834839,7664.63736755657,-2.15836389543256e-05,0.000546748490138505,1.06925603454273,7.37471185717807e-08,7.88545515630151e-08
4,1,0,7664.63737649357,7664.63736755657,-1.787400469766e-05,0.000546750204866417,1.06925602303457,8.74823826205942e-08,9.35410645264847e-08
5,1,0,7664.63737879977,7664.63736755657,-2.24863961193478e-05,0.000546755647989201,1.0692560396328,7.00639987929179e-08,7.49163538701524e-08
6,1,0,7664.63737756078,7664.63736755657,-2.00084141397383e-05,0.000546765107446083,1.06925606448138,3.73677548112525e-08,3.99556984479851e-08
7,1,0,7664.63737872388,7664.63736755657,-2.23346069105901e-05,0.000546764238690256,1.06925606784335,3.56169441023559e-08,3.80836335994815e-08
8,1,0,7664.63738087669,7664.63736755657,-2.66402385022957e-05,0.000546767706097568,1.06925607213109,3.36153711690657e-08,3.59434397394638e-08
9,1,0,7664.63737908276,7664.63736755657,-2.30523692152929e-05,0.000546764780635851,1.06925606952546,3.50338477501356e-08,3.74601543456636e-08
10,1,0,7664.63738026958,7664.63736755657,-2.54260103247361e-05,0.000546763020935856,1.06925605140214,6.17331414938641e-08,6.60085351143789e-08
11,1,0,7664.63737996543,7664.63736755657,-2.48177220782964e-05,0.000546726301263644,1.06925592362813,2.38709660220097e-07,2.55241718217596e-07
12,1,0,7664.63737731062,7664.63736755657,-1.95080974663142e-05,0.000546741731490983,1.06925603986021,7.58640851818086e-08,8.11181312891185e-08
13,1,0,7664.63738425605,7664.63736755657,-3.33989573846338e-05,0.000546699781423982,1.06925598138721,1.70315002609608e-07,1.82110335260302e-07
14,1,0,7664.63738035279,7664.63736755657,-2.55924278462771e-05,0.000546755544817,1.06925605447991,6.09204739765368e-08,6.51395856411981e-08
15,1,0,7664.63737945189,7664.63736755657,-2.37906297115842e-05,0.000546756827855084,1.06925605096615,6.45151024358522e-08,6.89831636582357e-08
16,1,0,7664.63737756414,7664.63736755657,-2.00151389435632e-05,0.000546759966995486,1.06925606865052,3.63582557417675e-08,3.88762855974324e-08
17,1,0,7664.637377839,7664.63736755657,-2.05648484552512e-05,0.000546758542785206,1.06925606927326,3.60647831887588e-08,3.85624883116046e-08
18,1,0,7664.63738102658,7664.63736755657,-2.69400115939789e-05,0.000546758046640857,1.0692560744843,3.32908879205871e-08,3.55964841340636e-08
19,1,0,7664.63737975673,7664.63736755657,-2.44003222178435e-05,0.000546756349118782,1.06925607265471,3.42033514385543e-08,3.65721412308174e-08
20,1,0,7664.63737992196,7664.63736755657,-2.47307725658175e-05,0.000546742952744827,1.06925605394591,6.19547481906567e-08,6.62454895735542e-08
